ip.checksum;ip.id;ip.len;ip.ttl;udp.checksum;pfcp.apply_action.buff;pfcp.apply_action.forw;pfcp.apply_action.nocp;pfcp.dst_interface;pfcp.duration_measurement;pfcp.f_seid.ipv4;pfcp.f_teid.ipv4_addr;pfcp.f_teid.teid;pfcp.f_teid_flags.ch;pfcp.f_teid_flags.ch_id;pfcp.f_teid_flags.v6;pfcp.flags;pfcp.ie_type;pfcp.msg_type;pfcp.node_id_ipv4;pfcp.outer_hdr_creation.ipv4;pfcp.outer_hdr_creation.teid;pfcp.pdr_id;pfcp.response_time;pfcp.response_to;pfcp.s;pfcp.seid;pfcp.seqno;pfcp.ue_ip_addr_ipv4;pfcp.volume_measurement.dlnop;pfcp.volume_measurement.dlvol;pfcp.volume_measurement.tonop;pfcp.volume_measurement.tovol;ip.opt.time_stamp
0x5a12;0x1;52.0;63.0;0x81bf;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;19.0;54.0;192.168.14.134;192.168.14.134;0x67;1.0;0.0077139273066666;674.0;True;0x455;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;1.0
0x5a12;0x1;52.0;63.0;0x82a0;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;19.0;54.0;192.168.14.134;192.168.14.134;0x67;1.0;0.0075789198866666;674.0;True;0x274;2.0;10.45.0.103;182.0;178950.0;182.0;178650.0;1.0
0x5a12;0x1;52.0;63.0;0x7e6c;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;19.0;54.0;192.168.14.134;192.168.14.134;0x67;1.0;0.0075561712466666;674.0;True;0x5a8;3.0;10.45.0.103;182.0;178950.0;182.0;178650.0;1.0
0x5a12;0x1;52.0;63.0;0x7a6e;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;19.0;54.0;192.168.14.134;192.168.14.134;0x67;1.0;0.0074390711666666;674.0;True;0x8a6;4.0;10.45.0.103;182.0;178950.0;182.0;178650.0;1.0
0x5a12;0x1;52.0;63.0;0x7ef4;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;19.0;54.0;192.168.14.134;192.168.14.134;0x67;1.0;0.0078763366066666;668.0;True;0x320;5.0;10.45.0.103;182.0;178950.0;182.0;178650.0;1.0
0x5a12;0x1;52.0;63.0;0x7bdf;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;19.0;54.0;192.168.14.134;192.168.14.134;0x67;1.0;0.0078763366066666;668.0;True;0x535;6.0;10.45.0.103;182.0;178950.0;182.0;178650.0;1.0
0x5a12;0x1;52.0;63.0;0x7c6b;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;19.0;54.0;192.168.14.134;192.168.14.134;0x67;1.0;0.0076284524466666;671.0;True;0x3a9;7.0;10.45.0.103;182.0;178950.0;182.0;178650.0;1.0
0x5a12;0x1;52.0;63.0;0x7ae7;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;19.0;54.0;192.168.14.134;192.168.14.134;0x67;1.0;0.0076284524466666;671.0;True;0x42d;8.0;10.45.0.103;182.0;178950.0;182.0;178650.0;1.0
0x5a12;0x1;52.0;63.0;0x785b;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;19.0;54.0;192.168.14.134;192.168.14.134;0x67;1.0;0.0076284524466666;671.0;True;0x5b9;9.0;10.45.0.103;182.0;178950.0;182.0;178650.0;1.0
0x5a12;0x1;52.0;63.0;0x700d;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x21;19.0;54.0;192.168.14.134;192.168.14.134;0x67;1.0;0.0076284524466666;671.0;True;0xd07;10.0;10.45.0.103;182.0;178950.0;182.0;178650.0;1.0
0x5906;0x1;329.0;63.0;0xd357;True;False;True;True;1754053953.0;192.168.130.174;192.168.130.179;0x457;True;False;True;0x21;60.0;50.0;192.168.130.174;192.168.14.134;0x67;1.0;0.0068445067;591.0;True;0x0;2.0;192.168.100.2;182.0;178950.0;182.0;178650.0;5.0
0x5906;0x1;329.0;63.0;0xd357;True;False;True;True;1754053953.0;192.168.130.174;192.168.130.179;0x457;True;False;True;0x21;60.0;50.0;192.168.130.174;192.168.14.134;0x67;1.0;0.0068445067;591.0;True;0x0;2.0;192.168.100.2;182.0;178950.0;182.0;178650.0;5.0
0x5906;0x1;329.0;63.0;0xd357;True;False;True;True;1754053953.0;192.168.130.174;192.168.130.179;0x457;True;False;True;0x21;60.0;50.0;192.168.130.174;192.168.14.134;0x67;1.0;0.0068445067;591.0;True;0x0;2.0;192.168.100.2;182.0;178950.0;182.0;178650.0;5.0
